CRN,Subject,Number,Section,Title,Meeting Days,Meeting Times,Meeting Locations,Instructors
16779,SLM,225,  A,Ethics in Sport,TR,1:15pm-2:35pm,LWS 215,Dr. Sam Morris
16780,SLM,225,  B,Ethics in Sport,TR,10:05am-11:25am,LWS 215,Dr. Sam Morris
17751,SLM,225,  C,Ethics in Sport,TR,11:40am-1:00pm,LWS 215,Dr. Sam Morris
18583,SLM,225,  D,Ethics in Sport,MW,11:40am-1:00pm,LWS 116, Rob Rude
18262,SLM,246,  A,"Sport, Management, and Culture",|,|,WEB | ,"Beissel, Adam"
19479,SLM,248,  A,Global Sport Perspectives,TR,10:05am-11:25am,KRG 319,"Beissel, Adam"
18577,SLM,272,  A,Cont Persp in Sport Leadership,MW,2:50pm-4:10pm,PSN 116,Dr. Jordan Goffena
16781,SLM,272,  B,Cont Persp in Sport Leadership,WF,10:05am-11:25am,MCG 222,Mr. Brendan Danker
16784,SLM,275,  A,Principles of Sport Analytics,TR,1:15pm-2:35pm,MCG 322,Dr. Jerred Wang
17205,SLM,276,  B,Current Issues inLeisure&Sport,TR,2:50pm-4:10pm,LWS 116,Dr. Bethany Geckle
17206,SLM,276,  C,Current Issues inLeisure&Sport,,,WEB ,Dr. Bethany Geckle
16720,SLM,279,  A,"Race, Nation, and Sport",WF,11:40am-1:00pm,MCG 217,Dr. Bethany Geckle
18572,SLM,338,  A,Psychosocial Aspects Coaching,TR,10:05am-11:25am,LWS 116,"Vealey, Robin"
16786,SLM,375,  B,Psych Persp. in Sport&Exerc.,WF,11:40am-1:00pm,MCG 222,Mr. Brendan Danker
17604,SLM,375,  C,Psych Persp. in Sport&Exerc.,TR,1:15pm-2:35pm,MCG 222,Mr. Brendan Danker
16787,SLM,378,  A,"Sport, Power and Inequality",MW,8:30am-9:50am,LWS 215,"Maddox, Callie"
17965,SLM,378,  C,"Sport, Power and Inequality",MW,10:05am-11:25am,LWS 215,"Maddox, Callie"
16373,STA,261,  A,Statistics,TR|F,8:30am-9:50am|8:30am-9:30am,UPH 314|UPH 314, Lizzy Compton
16374,STA,261,  B,Statistics,TR|F,10:05am-11:25am|10:05am-11:05am,UPH 314|UPH 314, Lizzy Compton
16375,STA,261,  C,Statistics,TR|,11:40am-1:00pm|,UPH 314|WEB ,"Adhikari, Achut"
16376,STA,261,  D,Statistics,TR|,1:15pm-2:35pm|,UPH 314|WEB , Lizzy Compton
16377,STA,261,  E,Statistics,TR|,2:50pm-4:10pm|,UPH 314|WEB ,"Adhikari, Achut"
16378,STA,261,  F,Statistics,TR|,4:25pm-5:45pm|,UPH 314|WEB ,"Osborne, Jason"
13391,STA,301,  A,Applied Statistics,MW|,10:05am-11:25am|,DSB 302|WEB ,"Werwinski, Lisa"
13392,STA,301,  B,Applied Statistics,T|,8:30am-9:50am|,DSB 302|WEB ,"Werwinski, Lisa"
18570,STA,301,  C,Applied Statistics,|T,|10:05am-11:25am,WEB |DSB 302,"Werwinski, Lisa"
17200,STA,308,  A,Programming for Data Analytics,MWF,1:15pm-2:10pm,UPH 320,"Wright, Stephen"
19507,STA,309,  A,Building/Managing Data Sets,MW,1:15pm-2:35pm,UPH 332,"O'Connell, Michael"
17201,STA,309,  B,Building/Managing Data Sets,MW,2:50pm-4:10pm,UPH 320,"O'Connell, Michael"
16457,STA,333,  A,Nonparametric Statistics,MW,11:40am-1:00pm,UPH 326,"Hughes, Michael"
18571,STA,333,  B,Nonparametric Statistics,TR,10:05am-11:25am,UPH 339,"Adhikari, Achut"
14953,STA,363,  A,Intro to Statistical Modeling,MW,8:30am-9:50am,UPH 332,"Smucker, Byran"
14288,STA,363,  B,Intro to Statistical Modeling,MW,10:05am-11:25am,UPH 332,"Kim, Seonjin"
10304,STA,363,  C,Intro to Statistical Modeling,MW,2:50pm-4:10pm,UPH 332,"Zhang, Jing"
16359,STA,363,  D,Intro to Statistical Modeling,MW,4:25pm-5:45pm,UPH 332,"Zhang, Jing"
17221,STA,365,  A,Monitoring/Design,TR,8:30am-9:50am,FSB 0013,"Weese, Maria"
17222,STA,365,  B,Monitoring/Design,TR,11:40am-1:00pm,FSB 0013,"Weese, Maria"
